(1383451269002,1383451269018,5)
(1383451269027,1383451269067,11)
(1383451269077,1383451269117,11)
(1383451269127,1383451269167,11)
(1383451269177,1383451269217,11)
(1383451269227,1383451269267,11)
(1383451269277,1383451269317,11)
(1383451269327,1383451269367,11)
(1383451269377,1383451269417,11)
(1383451269427,1383451269467,11)
(1383451269477,1383451269517,11)
(1383451269527,1383451269567,11)
(1383451269577,1383451269617,11)
(1383451269627,1383451269667,11)
(1383451269677,1383451269717,11)
(1383451269727,1383451269767,11)
(1383451269777,1383451269817,11)
(1383451269827,1383451269867,11)
(1383451269877,1383451269917,11)
(1383451269927,1383451269967,11)
(1383451269977,1383451270017,11)
(1383451270027,1383451270067,11)
(1383451270077,1383451270117,11)
(1383451270127,1383451270167,11)
(1383451270177,1383451270217,11)
(1383451270227,1383451270267,11)
(1383451270277,1383451270317,11)
(1383451270327,1383451270367,11)
(1383451270377,1383451270417,11)
(1383451270427,1383451270467,11)
(1383451270477,1383451270517,11)
(1383451270527,1383451270567,11)
(1383451270577,1383451270617,11)
(1383451270627,1383451270667,11)
(1383451270677,1383451270717,11)
(1383451270727,1383451270767,11)
(1383451270777,1383451270817,11)
(1383451270827,1383451270867,11)
(1383451270877,1383451270917,11)
(1383451270927,1383451270967,11)
(1383451270976,1383451271017,11)
(1383451271026,1383451271067,11)
(1383451271076,1383451271117,11)
(1383451271126,1383451271167,11)
(1383451271176,1383451271217,11)
(1383451271226,1383451271267,11)
(1383451271276,1383451271317,11)
(1383451271326,1383451271367,11)
(1383451271376,1383451271417,11)
(1383451271426,1383451271467,11)
(1383451271476,1383451271517,11)
(1383451271526,1383451271567,11)
(1383451271576,1383451271617,11)
(1383451271626,1383451271667,11)
(1383451271676,1383451271717,11)
(1383451271726,1383451271767,11)
(1383451271776,1383451271817,11)
(1383451271826,1383451271867,11)
(1383451271876,1383451271917,11)
(1383451271926,1383451271967,11)
(1383451271976,1383451272017,11)
(1383451272026,1383451272067,11)
(1383451272076,1383451272117,11)
(1383451272126,1383451272167,11)
(1383451272176,1383451272217,11)
(1383451272226,1383451272267,11)
(1383451272276,1383451272317,11)
(1383451272326,1383451272367,11)
(1383451272376,1383451272417,11)
(1383451272426,1383451272467,11)
(1383451272476,1383451272517,11)
(1383451272526,1383451272567,11)
(1383451272576,1383451272617,11)
(1383451272626,1383451272667,11)
(1383451272676,1383451272717,11)
(1383451272726,1383451272767,11)
(1383451272776,1383451272817,11)
(1383451272826,1383451272867,11)
(1383451272876,1383451272917,11)
(1383451272926,1383451272967,11)
(1383451272976,1383451273017,11)
(1383451273026,1383451273067,11)
(1383451273076,1383451273117,11)
(1383451273126,1383451273167,11)
(1383451273176,1383451273217,11)
(1383451273226,1383451273267,11)
(1383451273276,1383451273317,11)
(1383451273326,1383451273367,11)
(1383451273376,1383451273417,11)
(1383451273426,1383451273467,11)
(1383451273476,1383451273517,11)
(1383451273526,1383451273556,7)
