(1383451268910,1383451269010,3)
(1383451268920,1383451269020,5)
(1383451268930,1383451269030,7)
(1383451268940,1383451269040,11)
(1383451268950,1383451269050,13)
(1383451268960,1383451269060,16)
(1383451268970,1383451269070,16)
(1383451268980,1383451269080,18)
(1383451268990,1383451269090,22)
(1383451269000,1383451269100,24)
(1383451269010,1383451269110,22)
(1383451269020,1383451269120,22)
(1383451269030,1383451269130,22)
(1383451269040,1383451269140,22)
(1383451269050,1383451269150,22)
(1383451269060,1383451269160,22)
(1383451269070,1383451269170,22)
(1383451269080,1383451269180,22)
(1383451269090,1383451269190,22)
(1383451269100,1383451269200,22)
(1383451269110,1383451269210,22)
(1383451269120,1383451269220,22)
(1383451269130,1383451269230,22)
(1383451269140,1383451269240,22)
(1383451269150,1383451269250,22)
(1383451269160,1383451269260,22)
(1383451269170,1383451269270,22)
(1383451269180,1383451269280,22)
(1383451269190,1383451269290,22)
(1383451269200,1383451269300,22)
(1383451269210,1383451269310,22)
(1383451269220,1383451269320,22)
(1383451269230,1383451269330,22)
(1383451269240,1383451269340,22)
(1383451269250,1383451269350,22)
(1383451269260,1383451269360,22)
(1383451269270,1383451269370,22)
(1383451269280,1383451269380,22)
(1383451269290,1383451269390,22)
(1383451269300,1383451269400,22)
(1383451269310,1383451269410,22)
(1383451269320,1383451269420,22)
(1383451269330,1383451269430,22)
(1383451269340,1383451269440,22)
(1383451269350,1383451269450,22)
(1383451269360,1383451269460,22)
(1383451269370,1383451269470,22)
(1383451269380,1383451269480,22)
(1383451269390,1383451269490,22)
(1383451269400,1383451269500,22)
(1383451269410,1383451269510,22)
(1383451269420,1383451269520,22)
(1383451269430,1383451269530,22)
(1383451269440,1383451269540,22)
(1383451269450,1383451269550,22)
(1383451269460,1383451269560,22)
(1383451269470,1383451269570,22)
(1383451269480,1383451269580,22)
(1383451269490,1383451269590,22)
(1383451269500,1383451269600,22)
(1383451269510,1383451269610,22)
(1383451269520,1383451269620,22)
(1383451269530,1383451269630,22)
(1383451269540,1383451269640,22)
(1383451269550,1383451269650,22)
(1383451269560,1383451269660,22)
(1383451269570,1383451269670,22)
(1383451269580,1383451269680,22)
(1383451269590,1383451269690,22)
(1383451269600,1383451269700,22)
(1383451269610,1383451269710,22)
(1383451269620,1383451269720,22)
(1383451269630,1383451269730,22)
(1383451269640,1383451269740,22)
(1383451269650,1383451269750,22)
(1383451269660,1383451269760,22)
(1383451269670,1383451269770,22)
(1383451269680,1383451269780,22)
(1383451269690,1383451269790,22)
(1383451269700,1383451269800,22)
(1383451269710,1383451269810,22)
(1383451269720,1383451269820,22)
(1383451269730,1383451269830,22)
(1383451269740,1383451269840,22)
(1383451269750,1383451269850,22)
(1383451269760,1383451269860,22)
(1383451269770,1383451269870,22)
(1383451269780,1383451269880,22)
(1383451269790,1383451269890,22)
(1383451269800,1383451269900,22)
(1383451269810,1383451269910,22)
(1383451269820,1383451269920,22)
(1383451269830,1383451269930,22)
(1383451269840,1383451269940,22)
(1383451269850,1383451269950,22)
(1383451269860,1383451269960,22)
(1383451269870,1383451269970,22)
(1383451269880,1383451269980,22)
(1383451269890,1383451269990,22)
(1383451269900,1383451270000,22)
(1383451269910,1383451270010,22)
(1383451269920,1383451270020,22)
(1383451269930,1383451270030,22)
(1383451269940,1383451270040,22)
(1383451269950,1383451270050,22)
(1383451269960,1383451270060,22)
(1383451269970,1383451270070,22)
(1383451269980,1383451270080,22)
(1383451269990,1383451270090,22)
(1383451270000,1383451270100,22)
(1383451270010,1383451270110,22)
(1383451270020,1383451270120,22)
(1383451270030,1383451270130,22)
(1383451270040,1383451270140,22)
(1383451270050,1383451270150,22)
(1383451270060,1383451270160,22)
(1383451270070,1383451270170,22)
(1383451270080,1383451270180,22)
(1383451270090,1383451270190,22)
(1383451270100,1383451270200,22)
(1383451270110,1383451270210,22)
(1383451270120,1383451270220,22)
(1383451270130,1383451270230,22)
(1383451270140,1383451270240,22)
(1383451270150,1383451270250,22)
(1383451270160,1383451270260,22)
(1383451270170,1383451270270,22)
(1383451270180,1383451270280,22)
(1383451270190,1383451270290,22)
(1383451270200,1383451270300,22)
(1383451270210,1383451270310,22)
(1383451270220,1383451270320,22)
(1383451270230,1383451270330,22)
(1383451270240,1383451270340,22)
(1383451270250,1383451270350,22)
(1383451270260,1383451270360,22)
(1383451270270,1383451270370,22)
(1383451270280,1383451270380,22)
(1383451270290,1383451270390,22)
(1383451270300,1383451270400,22)
(1383451270310,1383451270410,22)
(1383451270320,1383451270420,22)
(1383451270330,1383451270430,22)
(1383451270340,1383451270440,22)
(1383451270350,1383451270450,22)
(1383451270360,1383451270460,22)
(1383451270370,1383451270470,22)
(1383451270380,1383451270480,22)
(1383451270390,1383451270490,22)
(1383451270400,1383451270500,22)
(1383451270410,1383451270510,22)
(1383451270420,1383451270520,22)
(1383451270430,1383451270530,22)
(1383451270440,1383451270540,22)
(1383451270450,1383451270550,22)
(1383451270460,1383451270560,22)
(1383451270470,1383451270570,22)
(1383451270480,1383451270580,22)
(1383451270490,1383451270590,22)
(1383451270500,1383451270600,22)
(1383451270510,1383451270610,22)
(1383451270520,1383451270620,22)
(1383451270530,1383451270630,22)
(1383451270540,1383451270640,22)
(1383451270550,1383451270650,22)
(1383451270560,1383451270660,22)
(1383451270570,1383451270670,22)
(1383451270580,1383451270680,22)
(1383451270590,1383451270690,22)
(1383451270600,1383451270700,22)
(1383451270610,1383451270710,22)
(1383451270620,1383451270720,22)
(1383451270630,1383451270730,22)
(1383451270640,1383451270740,22)
(1383451270650,1383451270750,22)
(1383451270660,1383451270760,22)
(1383451270670,1383451270770,22)
(1383451270680,1383451270780,22)
(1383451270690,1383451270790,22)
(1383451270700,1383451270800,22)
(1383451270710,1383451270810,22)
(1383451270720,1383451270820,22)
(1383451270730,1383451270830,22)
(1383451270740,1383451270840,22)
(1383451270750,1383451270850,22)
(1383451270760,1383451270860,22)
(1383451270770,1383451270870,22)
(1383451270780,1383451270880,22)
(1383451270790,1383451270890,22)
(1383451270800,1383451270900,22)
(1383451270810,1383451270910,22)
(1383451270820,1383451270920,22)
(1383451270830,1383451270930,22)
(1383451270840,1383451270940,22)
(1383451270850,1383451270950,22)
(1383451270860,1383451270960,22)
(1383451270870,1383451270970,22)
(1383451270880,1383451270980,22)
(1383451270890,1383451270990,22)
(1383451270900,1383451271000,22)
