(2013-11-03 04:01:09.02,2013-11-03 04:01:09.17,3)
(2013-11-03 04:01:09.27,2013-11-03 04:01:09.67,11)
(2013-11-03 04:01:09.77,2013-11-03 04:01:09.117,11)
(2013-11-03 04:01:09.127,2013-11-03 04:01:09.167,11)
(2013-11-03 04:01:09.177,2013-11-03 04:01:09.217,11)
(2013-11-03 04:01:09.227,2013-11-03 04:01:09.267,11)
(2013-11-03 04:01:09.277,2013-11-03 04:01:09.317,11)
(2013-11-03 04:01:09.327,2013-11-03 04:01:09.367,11)
(2013-11-03 04:01:09.377,2013-11-03 04:01:09.417,11)
(2013-11-03 04:01:09.427,2013-11-03 04:01:09.467,11)
(2013-11-03 04:01:09.477,2013-11-03 04:01:09.517,11)
(2013-11-03 04:01:09.527,2013-11-03 04:01:09.567,11)
(2013-11-03 04:01:09.577,2013-11-03 04:01:09.617,11)
(2013-11-03 04:01:09.627,2013-11-03 04:01:09.667,11)
(2013-11-03 04:01:09.677,2013-11-03 04:01:09.717,11)
(2013-11-03 04:01:09.727,2013-11-03 04:01:09.767,11)
(2013-11-03 04:01:09.777,2013-11-03 04:01:09.817,11)
(2013-11-03 04:01:09.827,2013-11-03 04:01:09.867,11)
(2013-11-03 04:01:09.877,2013-11-03 04:01:09.917,11)
(2013-11-03 04:01:09.927,2013-11-03 04:01:09.967,11)
(2013-11-03 04:01:09.977,2013-11-03 04:01:10.17,11)
(2013-11-03 04:01:10.27,2013-11-03 04:01:10.67,11)
(2013-11-03 04:01:10.77,2013-11-03 04:01:10.117,11)
(2013-11-03 04:01:10.127,2013-11-03 04:01:10.167,11)
(2013-11-03 04:01:10.177,2013-11-03 04:01:10.217,11)
(2013-11-03 04:01:10.227,2013-11-03 04:01:10.267,11)
(2013-11-03 04:01:10.277,2013-11-03 04:01:10.317,11)
(2013-11-03 04:01:10.327,2013-11-03 04:01:10.367,11)
(2013-11-03 04:01:10.377,2013-11-03 04:01:10.417,11)
(2013-11-03 04:01:10.427,2013-11-03 04:01:10.467,11)
(2013-11-03 04:01:10.477,2013-11-03 04:01:10.517,11)
(2013-11-03 04:01:10.527,2013-11-03 04:01:10.567,11)
(2013-11-03 04:01:10.577,2013-11-03 04:01:10.617,11)
(2013-11-03 04:01:10.627,2013-11-03 04:01:10.667,11)
(2013-11-03 04:01:10.677,2013-11-03 04:01:10.717,11)
(2013-11-03 04:01:10.727,2013-11-03 04:01:10.767,11)
(2013-11-03 04:01:10.777,2013-11-03 04:01:10.817,11)
(2013-11-03 04:01:10.827,2013-11-03 04:01:10.867,11)
(2013-11-03 04:01:10.877,2013-11-03 04:01:10.917,11)
(2013-11-03 04:01:10.927,2013-11-03 04:01:10.967,11)
(2013-11-03 04:01:10.976,2013-11-03 04:01:11.17,11)
(2013-11-03 04:01:11.26,2013-11-03 04:01:11.67,11)
(2013-11-03 04:01:11.76,2013-11-03 04:01:11.117,11)
(2013-11-03 04:01:11.126,2013-11-03 04:01:11.167,11)
(2013-11-03 04:01:11.176,2013-11-03 04:01:11.217,11)
(2013-11-03 04:01:11.226,2013-11-03 04:01:11.267,11)
(2013-11-03 04:01:11.276,2013-11-03 04:01:11.317,11)
(2013-11-03 04:01:11.326,2013-11-03 04:01:11.367,11)
