(1383451269907,1383451269907,D,1)
(1383451269927,1383451269952,D,9)
(1383451270237,1383451270257,G,6)
(1383451270277,1383451270307,G,11)
(1383451270327,1383451270357,G,11)
(1383451270377,1383451270407,G,11)
(1383451270427,1383451270457,G,11)
(1383451270477,1383451270507,G,11)
(1383451270527,1383451270557,G,11)
(1383451270577,1383451270587,G,6)
(1383451272183,1383451272207,M,8)
(1383451272226,1383451272257,M,11)
(1383451272276,1383451272307,M,11)
(1383451272326,1383451272357,M,11)
(1383451272376,1383451272407,M,11)
(1383451272426,1383451272457,M,11)
(1383451272476,1383451272507,M,11)
(1383451272526,1383451272557,M,11)
(1383451272576,1383451272607,M,11)
(1383451272626,1383451272633,M,5)
(1383451272637,1383451272657,N,6)
(1383451272676,1383451272707,N,11)
(1383451272726,1383451272757,N,11)
(1383451272776,1383451272807,N,11)
(1383451272826,1383451272857,N,11)
(1383451272876,1383451272907,N,11)
(1383451272926,1383451272957,N,11)
(1383451272976,1383451273007,N,11)
(1383451273026,1383451273057,N,11)
(1383451273076,1383451273087,N,6)
(1383451273328,1383451273357,Q,10)
(1383451273376,1383451273407,Q,11)
(1383451273426,1383451273457,Q,11)
(1383451273476,1383451273498,Q,8)
(1383451269002,1383451269007,A,3)
(1383451269027,1383451269057,A,11)
(1383451269077,1383451269107,A,11)
(1383451269127,1383451269157,A,11)
(1383451269177,1383451269207,A,11)
(1383451269227,1383451269230,A,3)
(1383451269233,1383451269257,B,8)
(1383451269277,1383451269307,B,11)
(1383451269327,1383451269357,B,11)
(1383451269377,1383451269407,B,11)
(1383451269427,1383451269452,B,9)
(1383451269456,1383451269457,C,2)
(1383451269477,1383451269507,C,11)
(1383451269527,1383451269557,C,11)
(1383451269577,1383451269607,C,11)
(1383451269627,1383451269657,C,11)
(1383451269677,1383451269707,C,11)
(1383451269727,1383451269757,C,11)
(1383451269777,1383451269807,C,11)
(1383451269827,1383451269857,C,11)
(1383451269877,1383451269906,C,10)
(1383451269956,1383451269957,E,2)
(1383451269977,1383451270007,E,11)
(1383451270027,1383451270057,E,11)
(1383451270077,1383451270107,E,11)
(1383451270127,1383451270133,E,4)
(1383451270233,1383451270233,A,2)
(1383451270606,1383451270607,A,2)
(1383451271956,1383451271957,K,2)
(1383451271976,1383451272007,K,11)
(1383451272026,1383451272057,K,11)
(1383451272076,1383451272107,K,11)
(1383451272126,1383451272126,K,1)
(1383451272128,1383451272157,A,10)
(1383451272176,1383451272180,A,3)
(1383451270133,1383451270157,F,7)
(1383451270177,1383451270207,F,11)
(1383451270227,1383451270230,F,3)
(1383451270596,1383451270596,H,1)
(1383451270599,1383451270602,I,2)
(1383451270627,1383451270657,J,11)
(1383451270677,1383451270707,J,11)
(1383451270727,1383451270757,J,11)
(1383451270777,1383451270807,J,11)
(1383451270827,1383451270857,J,11)
(1383451270877,1383451270907,J,11)
(1383451270927,1383451270957,J,11)
(1383451270976,1383451271007,J,11)
(1383451271026,1383451271057,J,11)
(1383451271076,1383451271107,J,11)
(1383451271126,1383451271157,J,11)
(1383451271176,1383451271207,J,11)
(1383451271226,1383451271257,J,11)
(1383451271276,1383451271307,J,11)
(1383451271326,1383451271357,J,11)
(1383451271376,1383451271407,J,11)
(1383451271426,1383451271457,J,11)
(1383451271476,1383451271507,J,11)
(1383451271526,1383451271557,J,11)
(1383451271576,1383451271607,J,11)
(1383451271626,1383451271657,J,11)
(1383451271676,1383451271707,J,11)
(1383451271726,1383451271757,J,11)
(1383451271776,1383451271807,J,11)
(1383451271826,1383451271857,J,11)
(1383451271876,1383451271907,J,11)
(1383451271926,1383451271952,J,9)
(1383451273096,1383451273107,P,5)
(1383451273126,1383451273157,P,11)
(1383451273176,1383451273207,P,11)
(1383451273226,1383451273257,P,11)
(1383451273276,1383451273307,P,11)
(1383451273326,1383451273326,P,1)
(1383451273502,1383451273507,R,3)
(1383451273526,1383451273546,R,7)
